Unnamed: 0;NAME;TEAM;POS;NAT;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;FOULS;FOULED;TACKLES ATT/WON;AERIALS ATT/WON;DUELS ATT/WON;CLEAR;ERR CHANCE;ERR GOAL;POSS LOST;OFFSIDE;TOUCHES;INTERCEP;RECOV;LAST MAN TACKLE;PASSES;PASS COMP %;FINAL THIRD;LONG BALL;PEN;SHOTS;ON TARGET;BLOCKED;DRIBBLES;TOUCHES IN BOX;BIG CHANCE;CROSSES;SAVES;GOALS CON;PEN CON;PEN SAVE;DECISIVE;FIRST;EQUALISER;PEN WON;RATING
;B. Leno;;GK;;Germany;90;-;-;-;-;-;-;0/0;1/1;0/1;1;1;-;12;-;48;-;9;-;39;69%;4;14;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;6.8
;K. Tete;;DR;;Netherlands;90;-;-;-;-;-;1;1/0;2/0;7/2;1;-;-;9;-;47;3;6;-;24;75%;4;2;-;2;1;-;-;1;-;2;-;-;-;-;-;-;-;-;6.3
;I. Diop;;DCR;;France;90;-;-;-;-;-;-;4/3;0/0;0/4;5;-;-;7;-;45;-;-;-;35;80%;4;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.4
;C. Bassey;;DCL;;Nigeria;90;-;-;1;-;2;-;1/1;2/1;6/2;3;1;-;7;-;73;-;4;-;62;92%;7;6;-;2;-;1;-;2;-;-;-;-;-;-;-;-;-;-;5.9
;A. Robinson;;DL;;United States;90;-;-;-;-;-;-;8/6;3/2;14/10;6;-;-;14;1;64;2;7;-;33;76%;7;3;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;7.5
;A. Pereira;;DMCR;;Brazil;90;-;-;1;-;2;3;0/0;4/2;12/5;-;-;-;20;-;62;-;9;-;42;74%;16;4;-;-;-;-;-;1;-;12;-;-;-;-;-;-;-;-;6.0
;S. Lukić;;DMCL;;Serbia;90;-;-;-;-;-;1;3/2;0/0;6/4;1;-;-;5;-;55;1;8;-;45;89%;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.6
;Adama Traoré;;AMR;;Spain;78;-;-;-;-;3;2;1/0;4/3;20/10;-;-;-;15;-;41;-;6;-;20;70%;11;1;-;3;-;2;4;4;-;1;-;-;-;-;-;-;-;-;6.3
;E. Smith Rowe;;AMC;;England;64;-;-;-;-;-;1;1/1;1/1;0/3;-;-;-;9;-;36;2;3;-;26;77%;6;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6.0
;A. Iwobi;;AML;;Nigeria;90;-;-;-;-;1;-;4/3;3/0;15/5;1;-;-;18;-;48;-;5;-;25;72%;10;-;-;1;-;-;1;4;-;3;-;-;-;-;-;-;-;-;6.1
;Rodrigo Muniz;;S;;Brazil;78;-;-;-;-;-;1;0/0;10/4;15/6;1;-;-;7;-;22;1;2;-;6;83%;2;-;-;2;1;1;1;5;-;-;-;-;-;-;-;-;-;-;6.0
;T. Cairney;;M;;Scotland;26;-;-;1;-;1;1;0/0;1/0;6/3;-;-;-;3;-;21;-;2;-;16;94%;6;-;-;-;-;-;2;2;-;1;-;-;-;-;-;-;-;-;6.1
;R. Jiménez;;F;;Mexico;12;-;-;-;-;-;-;0/0;3/1;3/1;-;-;-;3;-;5;-;-;-;4;50%;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;H. Wilson;;M;;Wales;12;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;A. Onana;;GK;;Cameroon;90;-;-;-;-;-;-;0/0;0/0;0/0;1;-;-;7;-;34;-;11;-;23;70%;-;9;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;6.7
;N. Mazraoui;;DR;;Morocco;81;-;-;-;-;-;1;2/2;4/3;7/6;2;-;-;4;-;55;3;5;-;38;92%;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.4
;H. Maguire;;DCR;;England;81;-;-;1;-;2;-;0/0;6/5;9/6;5;-;-;11;-;72;3;5;-;60;83%;9;5;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7.0
;L. Martínez;;DCL;;Argentina;90;-;-;-;-;1;-;3/2;1/0;7/3;2;-;-;7;-;70;3;2;-;61;89%;9;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.2
;D. Dalot;;DL;;Portugal;90;-;-;-;-;2;1;2/1;4/2;10/6;3;-;-;11;-;70;1;6;-;52;87%;16;4;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;6.9
;Casemiro;;DMCR;;Brazil;90;-;-;-;-;1;1;4/2;4/2;13/7;4;-;-;14;2;81;1;7;-;53;81%;15;2;-;3;-;-;-;3;2;3;-;-;-;-;-;-;-;-;7.7
;K. Mainoo;;DMCL;;England;84;-;-;-;-;3;4;3/3;5/2;25/13;-;-;-;10;-;66;5;6;-;41;90%;15;3;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;7.8
;A. Diallo;;AMR;;Côte d’Ivoire;61;-;-;-;-;-;-;1/1;1/0;5/2;-;-;-;9;-;41;2;6;-;29;90%;15;1;-;-;-;-;1;3;-;2;-;-;-;-;-;-;-;-;6.4
;M. Mount;;AMC;;England;61;-;-;1;-;1;1;3/1;1/1;11/5;-;-;-;10;-;27;-;1;-;15;73%;10;-;-;1;1;-;-;5;-;-;-;-;-;-;-;-;-;-;5.8
;M. Rashford;;AML;;England;90;-;-;-;-;1;1;0/0;1/1;9/2;1;-;-;16;1;44;1;4;-;29;76%;19;2;-;-;-;-;-;4;1;1;-;-;-;-;-;-;-;-;6.4
;B. Fernandes;;S;;Portugal;90;-;-;-;-;-;-;2/1;2/0;9/3;-;-;-;20;-;73;-;6;-;50;84%;22;6;-;6;3;2;1;3;-;8;-;-;-;-;-;-;-;-;7.1
;J. Zirkzee;;F;;Netherlands;29;1;-;-;-;-;-;0/0;0/0;0/0;-;-;-;2;-;12;-;3;-;9;89%;3;-;-;1;1;-;-;1;-;-;-;-;-;-;1;1;-;-;6.9
;A. Garnacho;;F;;Argentina;29;-;1;-;-;-;1;1/1;2/1;7/3;1;-;-;5;-;20;-;2;-;10;90%;3;-;-;2;-;-;-;3;-;1;-;-;-;-;-;-;-;-;6.8
;J. Evans;;D;;Northern Ireland;9;-;-;-;-;1;-;0/0;2/1;3/1;1;-;-;2;-;8;-;-;-;6;67%;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;M. de Ligt;;D;;Netherlands;9;-;-;-;-;-;-;0/0;1/0;0/0;-;-;-;-;-;2;-;-;-;2;100%;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;S. McTominay;;M;;Scotland;6;-;-;-;-;-;-;0/0;1/1;0/1;-;-;-;-;-;4;-;1;-;4;100%;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;Alisson;;GK;;Brazil;90;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;7;-;53;-;7;-;48;85%;3;10;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;6.7
;T. A-Arnold;;DR;;England;77;-;-;-;-;-;2;0/0;0/0;3/2;1;-;-;16;-;61;-;7;-;46;70%;19;14;-;1;-;-;-;1;2;4;-;-;-;-;-;-;-;-;7.1
;J. Quansah;;DCR;;England;45;-;-;-;-;2;-;2/2;4/2;8/4;3;-;-;3;-;35;1;-;1;28;89%;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.9
;V. van Dijk;;DCL;;Netherlands;90;-;-;-;-;-;-;0/0;4/3;4/3;2;1;-;5;-;89;1;1;-;85;94%;9;7;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;6.7
;A. Robertson;;DL;;Scotland;79;-;-;-;-;1;-;1/0;1/0;4/1;1;-;-;20;-;86;1;5;-;56;89%;10;3;-;-;-;-;-;2;-;11;-;-;-;-;-;-;-;-;7.0
;R. Gravenberch;;DMCR;;Netherlands;90;-;-;-;-;5;1;3/1;1/1;12/6;-;-;-;9;-;71;-;2;-;59;86%;16;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6.3
;A. Mac Allister;;DMCL;;Argentina;90;-;-;-;-;1;2;0/0;3/2;14/5;1;-;-;15;-;68;-;6;-;49;86%;18;4;-;2;-;1;1;2;-;1;-;-;-;-;-;-;-;-;6.6
;M. Salah;;AMR;;Egypt;90;1;1;-;-;3;1;0/0;0/0;6/1;1;-;-;14;-;46;-;1;-;33;76%;17;3;-;4;3;1;-;11;1;1;-;-;-;-;-;-;-;-;8.3
;D. Szoboszlai;;AMC;;Hungary;90;-;-;-;-;2;1;1/0;3/1;8/4;1;-;-;8;-;61;-;4;-;46;91%;15;2;-;3;-;3;1;4;1;2;-;-;-;-;-;-;-;-;6.8
;L. Díaz;;AML;;Colombia;90;-;-;-;-;3;-;1/1;3/2;16/8;1;-;-;10;-;53;-;6;-;34;85%;21;2;-;3;-;1;5;11;1;-;-;-;-;-;-;-;-;-;7.4
;Diogo Jota;;S;;Portugal;79;1;-;-;-;-;1;1/0;5/3;13/6;1;-;-;12;-;32;1;3;-;14;57%;10;3;-;3;1;-;1;11;-;1;-;-;-;-;1;1;-;-;7.5
;I. Konaté;;D;;France;45;-;-;-;-;-;-;0/0;4/3;5/4;2;-;-;2;-;36;1;2;-;30;93%;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6.8
;K. Tsimikas;;D;;Greece;11;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;C. Gakpo;;F;;Netherlands;11;-;-;1;-;1;-;0/0;0/0;0/0;1;-;-;3;-;11;-;-;-;7;100%;-;-;-;-;-;-;-;3;-;3;-;-;-;-;-;-;-;-;
;C. Bradley;;D;;Northern Ireland;13;-;-;-;-;-;-;0/0;1/1;0/2;1;-;-;4;-;32;-;1;-;22;91%;6;1;-;2;1;1;1;3;-;-;-;-;-;-;-;-;-;-;
;C. Walton;;GK;;England;90;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;9;-;48;-;10;-;35;74%;4;15;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;6.1
