NAME;POS;NAT;COUNTRY;MINUTES_PLAYED;GOALS;ASSISTS;YELLOW_CARDS;RED_CARDS;FOULS;FOULED;TACKLES ATT/WON;AERIALS ATT/WON;DUELS ATT/WON;CLEAR;ERR CHANCE;ERR GOAL;POSS LOST;OFFSIDE;TOUCHES;INTERCEP;RECOV;LAST MAN TACKLE;PASSES;PASS COMP %;FINAL THIRD;LONG BALL;PEN;SHOTS;ON TARGET;BLOCKED;DRIBBLES;TOUCHES IN BOX;BIG CHANCE;CROSSES;SAVES;GOALS CON;PEN CON;PEN SAVE;DECISIVE;FIRST;EQUALISER;PEN WON;RATING
B. Leno;GK;0.0;Germany;90;0.0;0.0;0.0;0.0;0.0;0.0;0/0;1/1;0/1;1.0;1.0;0.0;12.0;0.0;48.0;0.0;9.0;0.0;39.0;69%;4.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.8
K. Tete;DR;0.0;Netherlands;90;0.0;0.0;0.0;0.0;0.0;1.0;1/0;2/0;7/2;1.0;0.0;0.0;9.0;0.0;47.0;3.0;6.0;0.0;24.0;75%;4.0;2.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.3
I. Diop;DCR;0.0;France;90;0.0;0.0;0.0;0.0;0.0;0.0;4/3;0/0;0/4;5.0;0.0;0.0;7.0;0.0;45.0;0.0;0.0;0.0;35.0;80%;4.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4
C. Bassey;DCL;0.0;Nigeria;90;0.0;0.0;1.0;0.0;2.0;0.0;1/1;2/1;6/2;3.0;1.0;0.0;7.0;0.0;73.0;0.0;4.0;0.0;62.0;92%;7.0;6.0;0.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.9
A. Robinson;DL;0.0;United States;90;0.0;0.0;0.0;0.0;0.0;0.0;8/6;3/2;14/10;6.0;0.0;0.0;14.0;1.0;64.0;2.0;7.0;0.0;33.0;76%;7.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5
A. Pereira;DMCR;0.0;Brazil;90;0.0;0.0;1.0;0.0;2.0;3.0;0/0;4/2;12/5;0.0;0.0;0.0;20.0;0.0;62.0;0.0;9.0;0.0;42.0;74%;16.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
S. Lukić;DMCL;0.0;Serbia;90;0.0;0.0;0.0;0.0;0.0;1.0;3/2;0/0;6/4;1.0;0.0;0.0;5.0;0.0;55.0;1.0;8.0;0.0;45.0;89%;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6
Adama Traoré;AMR;0.0;Spain;78;0.0;0.0;0.0;0.0;3.0;2.0;1/0;4/3;20/10;0.0;0.0;0.0;15.0;0.0;41.0;0.0;6.0;0.0;20.0;70%;11.0;1.0;0.0;3.0;0.0;2.0;4.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.3
E. Smith Rowe;AMC;0.0;England;64;0.0;0.0;0.0;0.0;0.0;1.0;1/1;1/1;0/3;0.0;0.0;0.0;9.0;0.0;36.0;2.0;3.0;0.0;26.0;77%;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
A. Iwobi;AML;0.0;Nigeria;90;0.0;0.0;0.0;0.0;1.0;0.0;4/3;3/0;15/5;1.0;0.0;0.0;18.0;0.0;48.0;0.0;5.0;0.0;25.0;72%;10.0;0.0;0.0;1.0;0.0;0.0;1.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1
Rodrigo Muniz;S;0.0;Brazil;78;0.0;0.0;0.0;0.0;0.0;1.0;0/0;10/4;15/6;1.0;0.0;0.0;7.0;0.0;22.0;1.0;2.0;0.0;6.0;83%;2.0;0.0;0.0;2.0;1.0;1.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
T. Cairney;M;0.0;Scotland;26;0.0;0.0;1.0;0.0;1.0;1.0;0/0;1/0;6/3;0.0;0.0;0.0;3.0;0.0;21.0;0.0;2.0;0.0;16.0;94%;6.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1
R. Jiménez;F;0.0;Mexico;12;0.0;0.0;0.0;0.0;0.0;0.0;0/0;3/1;3/1;0.0;0.0;0.0;3.0;0.0;5.0;0.0;0.0;0.0;4.0;50%;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H. Wilson;M;0.0;Wales;12;0.0;0.0;0.0;0.0;0.0;0.0;0/0;0/0;0/0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A. Onana;GK;0.0;Cameroon;90;0.0;0.0;0.0;0.0;0.0;0.0;0/0;0/0;0/0;1.0;0.0;0.0;7.0;0.0;34.0;0.0;11.0;0.0;23.0;70%;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.7
