Date,Home,Away,match_key
2024-08-16,Man Utd,Fulham,Man Utd-Fulham
2024-08-17,Ipswich,Liverpool,Ipswich-Liverpool
2024-08-17,Newcastle,Southampton,Newcastle-Southampton
2024-08-17,Everton,Brighton,Everton-Brighton
2024-08-17,Notts Forest,Bournemouth,Notts Forest-Bournemouth
2024-08-17,Arsenal,Wolves,Arsenal-Wolves
2024-08-17,West Ham,Aston Villa,West Ham-Aston Villa
2024-08-18,Brentford,Crystal Palace,Brentford-Crystal Palace
2024-08-18,Chelsea,Man City,Chelsea-Man City
2024-08-19,Leicester,Tottenham,Leicester-Tottenham
2024-08-24,Brighton,Man Utd,Brighton-Man Utd
2024-08-24,Man City,Ipswich,Man City-Ipswich
2024-08-24,Southampton,Notts Forest,Southampton-Notts Forest
2024-08-24,Tottenham,Everton,Tottenham-Everton
2024-08-24,Fulham,Leicester,Fulham-Leicester
2024-08-24,Crystal Palace,West Ham,Crystal Palace-West Ham
2024-08-24,Aston Villa,Arsenal,Aston Villa-Arsenal
2024-08-25,Wolves,Chelsea,Wolves-Chelsea
2024-08-25,Bournemouth,Newcastle,Bournemouth-Newcastle
2024-08-25,Liverpool,Brentford,Liverpool-Brentford
2024-08-31,Arsenal,Brighton,Arsenal-Brighton
2024-08-31,Ipswich,Fulham,Ipswich-Fulham
2024-08-31,Notts Forest,Wolves,Notts Forest-Wolves
2024-08-31,Brentford,Southampton,Brentford-Southampton
2024-08-31,Leicester,Aston Villa,Leicester-Aston Villa
2024-08-31,Everton,Bournemouth,Everton-Bournemouth
2024-08-31,West Ham,Man City,West Ham-Man City
2024-09-01,Newcastle,Tottenham,Newcastle-Tottenham
2024-09-01,Chelsea,Crystal Palace,Chelsea-Crystal Palace
2024-09-01,Man Utd,Liverpool,Man Utd-Liverpool
2024-09-14,Southampton,Man Utd,Southampton-Man Utd
2024-09-14,Man City,Brentford,Man City-Brentford
2024-09-14,Liverpool,Notts Forest,Liverpool-Notts Forest
2024-09-14,Crystal Palace,Leicester,Crystal Palace-Leicester
2024-09-14,Fulham,West Ham,Fulham-West Ham
2024-09-14,Brighton,Ipswich,Brighton-Ipswich
2024-09-14,Aston Villa,Everton,Aston Villa-Everton
2024-09-14,Bournemouth,Chelsea,Bournemouth-Chelsea
2024-09-15,Tottenham,Arsenal,Tottenham-Arsenal
2024-09-15,Wolves,Newcastle,Wolves-Newcastle
2024-09-21,West Ham,Chelsea,West Ham-Chelsea
2024-09-21,Tottenham,Brentford,Tottenham-Brentford
2024-09-21,Aston Villa,Wolves,Aston Villa-Wolves
2024-09-21,Fulham,Newcastle,Fulham-Newcastle
2024-09-21,Southampton,Ipswich,Southampton-Ipswich
2024-09-21,Leicester,Everton,Leicester-Everton
2024-09-21,Liverpool,Bournemouth,Liverpool-Bournemouth
2024-09-21,Crystal Palace,Man Utd,Crystal Palace-Man Utd
2024-09-22,Brighton,Notts Forest,Brighton-Notts Forest
2024-09-22,Man City,Arsenal,Man City-Arsenal
2024-09-28,Newcastle,Man City,Newcastle-Man City
2024-09-28,Brentford,West Ham,Brentford-West Ham
2024-09-28,Everton,Crystal Palace,Everton-Crystal Palace
2024-09-28,Arsenal,Leicester,Arsenal-Leicester
2024-09-28,Chelsea,Brighton,Chelsea-Brighton
2024-09-28,Notts Forest,Fulham,Notts Forest-Fulham
2024-09-28,Wolves,Liverpool,Wolves-Liverpool
2024-09-29,Ipswich,Aston Villa,Ipswich-Aston Villa
2024-09-29,Man Utd,Tottenham,Man Utd-Tottenham
2024-09-30,Bournemouth,Southampton,Bournemouth-Southampton
2024-10-05,Crystal Palace,Liverpool,Crystal Palace-Liverpool
2024-10-05,Brentford,Wolves,Brentford-Wolves
2024-10-05,Leicester,Bournemouth,Leicester-Bournemouth
2024-10-05,Man City,Fulham,Man City-Fulham
2024-10-05,West Ham,Ipswich,West Ham-Ipswich
2024-10-05,Arsenal,Southampton,Arsenal-Southampton
2024-10-05,Everton,Newcastle,Everton-Newcastle
2024-10-06,Aston Villa,Man Utd,Aston Villa-Man Utd
2024-10-06,Chelsea,Notts Forest,Chelsea-Notts Forest
2024-10-06,Brighton,Tottenham,Brighton-Tottenham
2024-10-19,Tottenham,West Ham,Tottenham-West Ham
2024-10-19,Fulham,Aston Villa,Fulham-Aston Villa
2024-10-19,Ipswich,Everton,Ipswich-Everton
2024-10-19,Southampton,Leicester,Southampton-Leicester
2024-10-19,Man Utd,Brentford,Man Utd-Brentford
2024-10-19,Newcastle,Brighton,Newcastle-Brighton
2024-10-19,Bournemouth,Arsenal,Bournemouth-Arsenal
2024-10-20,Wolves,Man City,Wolves-Man City
2024-10-20,Liverpool,Chelsea,Liverpool-Chelsea
2024-10-21,Notts Forest,Crystal Palace,Notts Forest-Crystal Palace
2024-10-25,Leicester,Notts Forest,Leicester-Notts Forest
2024-10-26,Brighton,Wolves,Brighton-Wolves
2024-10-26,Man City,Southampton,Man City-Southampton
2024-10-26,Brentford,Ipswich,Brentford-Ipswich
2024-10-26,Aston Villa,Bournemouth,Aston Villa-Bournemouth
2024-10-26,Everton,Fulham,Everton-Fulham
2024-10-27,West Ham,Man Utd,West Ham-Man Utd
2024-10-27,Chelsea,Newcastle,Chelsea-Newcastle
2024-10-27,Crystal Palace,Tottenham,Crystal Palace-Tottenham
2024-10-27,Arsenal,Liverpool,Arsenal-Liverpool
2024-11-02,Newcastle,Arsenal,Newcastle-Arsenal
2024-11-02,Liverpool,Brighton,Liverpool-Brighton
2024-11-02,Southampton,Everton,Southampton-Everton
2024-11-02,Notts Forest,West Ham,Notts Forest-West Ham
2024-11-02,Ipswich,Leicester,Ipswich-Leicester
2024-11-02,Bournemouth,Man City,Bournemouth-Man City
2024-11-02,Wolves,Crystal Palace,Wolves-Crystal Palace
2024-11-03,Tottenham,Aston Villa,Tottenham-Aston Villa
2024-11-03,Man Utd,Chelsea,Man Utd-Chelsea
2024-11-04,Fulham,Brentford,Fulham-Brentford
2024-11-09,West Ham,Everton,West Ham-Everton
2024-11-09,Crystal Palace,Fulham,Crystal Palace-Fulham
2024-11-09,Wolves,Southampton,Wolves-Southampton
2024-11-09,Brentford,Bournemouth,Brentford-Bournemouth
2024-11-09,Brighton,Man City,Brighton-Man City
2024-11-09,Liverpool,Aston Villa,Liverpool-Aston Villa
2024-11-10,Tottenham,Ipswich,Tottenham-Ipswich
2024-11-10,Notts Forest,Newcastle,Notts Forest-Newcastle
2024-11-10,Man Utd,Leicester,Man Utd-Leicester
2024-11-10,Chelsea,Arsenal,Chelsea-Arsenal
2024-11-23,Leicester,Chelsea,Leicester-Chelsea
2024-11-23,Aston Villa,Crystal Palace,Aston Villa-Crystal Palace
2024-11-23,Fulham,Wolves,Fulham-Wolves
2024-11-23,Bournemouth,Brighton,Bournemouth-Brighton
2024-11-23,Arsenal,Notts Forest,Arsenal-Notts Forest
2024-11-23,Everton,Brentford,Everton-Brentford
2024-11-23,Man City,Tottenham,Man City-Tottenham
2024-11-24,Southampton,Liverpool,Southampton-Liverpool
2024-11-24,Ipswich,Man Utd,Ipswich-Man Utd
2024-11-25,Newcastle,West Ham,Newcastle-West Ham
2024-11-29,Brighton,Southampton,Brighton-Southampton
2024-11-30,Wolves,Bournemouth,Wolves-Bournemouth
2024-11-30,Notts Forest,Ipswich,Notts Forest-Ipswich
2024-11-30,Brentford,Leicester,Brentford-Leicester
2024-11-30,Crystal Palace,Newcastle,Crystal Palace-Newcastle
2024-11-30,West Ham,Arsenal,West Ham-Arsenal
