match_id,home_team,away_team,match_key
3356597,Man Utd,Fulham,Man Utd-Fulham
3356598,Ipswich,Liverpool,Ipswich-Liverpool
3356601,Newcastle,Southampton,Newcastle-Southampton
3356599,Arsenal,Wolves,Arsenal-Wolves
3356600,Everton,Brighton,Everton-Brighton
3356602,Notts Forest,Bournemouth,Notts Forest-Bournemouth
3356603,West Ham,Aston Villa,West Ham-Aston Villa
3356604,Brentford,Crystal Palace,Brentford-Crystal Palace
3356605,Chelsea,Man City,Chelsea-Man City
3356606,Leicester,Tottenham,Leicester-Tottenham
3356609,Brighton,Man Utd,Brighton-Man Utd
3356610,Crystal Palace,West Ham,Crystal Palace-West Ham
3356611,Fulham,Leicester,Fulham-Leicester
3356613,Man City,Ipswich,Man City-Ipswich
3356615,Tottenham,Everton,Tottenham-Everton
3356614,Southampton,Notts Forest,Southampton-Notts Forest
3356608,Aston Villa,Arsenal,Aston Villa-Arsenal
3356607,Bournemouth,Newcastle,Bournemouth-Newcastle
3356616,Wolves,Chelsea,Wolves-Chelsea
3356612,Liverpool,Brentford,Liverpool-Brentford
3356617,Arsenal,Brighton,Arsenal-Brighton
3356620,Everton,Bournemouth,Everton-Bournemouth
3356625,Notts Forest,Wolves,Notts Forest-Wolves
3356622,Leicester,Aston Villa,Leicester-Aston Villa
3356618,Brentford,Southampton,Brentford-Southampton
3356621,Ipswich,Fulham,Ipswich-Fulham
3356626,West Ham,Man City,West Ham-Man City
3356624,Newcastle,Tottenham,Newcastle-Tottenham
3356619,Chelsea,Crystal Palace,Chelsea-Crystal Palace
3356623,Man Utd,Liverpool,Man Utd-Liverpool
3356634,Southampton,Man Utd,Southampton-Man Utd
3356632,Liverpool,Notts Forest,Liverpool-Notts Forest
3356633,Man City,Brentford,Man City-Brentford
3356630,Crystal Palace,Leicester,Crystal Palace-Leicester
3356629,Brighton,Ipswich,Brighton-Ipswich
3356631,Fulham,West Ham,Fulham-West Ham
3356628,Aston Villa,Everton,Aston Villa-Everton
3356627,Bournemouth,Chelsea,Bournemouth-Chelsea
3356635,Tottenham,Arsenal,Tottenham-Arsenal
3356636,Wolves,Newcastle,Wolves-Newcastle
3356646,West Ham,Chelsea,West Ham-Chelsea
3356640,Fulham,Newcastle,Fulham-Newcastle
3356637,Aston Villa,Wolves,Aston Villa-Wolves
3356642,Liverpool,Bournemouth,Liverpool-Bournemouth
3356645,Tottenham,Brentford,Tottenham-Brentford
3356641,Leicester,Everton,Leicester-Everton
3356644,Southampton,Ipswich,Southampton-Ipswich
3356639,Crystal Palace,Man Utd,Crystal Palace-Man Utd
3356638,Brighton,Notts Forest,Brighton-Notts Forest
3356643,Man City,Arsenal,Man City-Arsenal
3356654,Newcastle,Man City,Newcastle-Man City
3356648,Arsenal,Leicester,Arsenal-Leicester
3356650,Chelsea,Brighton,Chelsea-Brighton
3356651,Everton,Crystal Palace,Everton-Crystal Palace
3356655,Notts Forest,Fulham,Notts Forest-Fulham
3356649,Brentford,West Ham,Brentford-West Ham
3356656,Wolves,Liverpool,Wolves-Liverpool
3356652,Ipswich,Aston Villa,Ipswich-Aston Villa
3356653,Man Utd,Tottenham,Man Utd-Tottenham
3356647,Bournemouth,Southampton,Bournemouth-Southampton
3356662,Crystal Palace,Liverpool,Crystal Palace-Liverpool
3356664,Leicester,Bournemouth,Leicester-Bournemouth
3356666,West Ham,Ipswich,West Ham-Ipswich
3356659,Brentford,Wolves,Brentford-Wolves
3356665,Man City,Fulham,Man City-Fulham
3356657,Arsenal,Southampton,Arsenal-Southampton
3356663,Everton,Newcastle,Everton-Newcastle
3356658,Aston Villa,Man Utd,Aston Villa-Man Utd
3356661,Chelsea,Notts Forest,Chelsea-Notts Forest
3356660,Brighton,Tottenham,Brighton-Tottenham
3356675,Tottenham,West Ham,Tottenham-West Ham
3356668,Fulham,Aston Villa,Fulham-Aston Villa
3356672,Newcastle,Brighton,Newcastle-Brighton
3356671,Man Utd,Brentford,Man Utd-Brentford
3356669,Ipswich,Everton,Ipswich-Everton
3356674,Southampton,Leicester,Southampton-Leicester
3356667,Bournemouth,Arsenal,Bournemouth-Arsenal
3356676,Wolves,Man City,Wolves-Man City
3356670,Liverpool,Chelsea,Liverpool-Chelsea
3356673,Notts Forest,Crystal Palace,Notts Forest-Crystal Palace
3356684,Leicester,Notts Forest,Leicester-Notts Forest
3356685,Man City,Southampton,Man City-Southampton
3356679,Brentford,Ipswich,Brentford-Ipswich
3356680,Brighton,Wolves,Brighton-Wolves
3356678,Aston Villa,Bournemouth,Aston Villa-Bournemouth
3356683,Everton,Fulham,Everton-Fulham
3356681,Chelsea,Newcastle,Chelsea-Newcastle
3356686,West Ham,Man Utd,West Ham-Man Utd
3356682,Crystal Palace,Tottenham,Crystal Palace-Tottenham
3356677,Arsenal,Liverpool,Arsenal-Liverpool
3356692,Newcastle,Arsenal,Newcastle-Arsenal
3356689,Ipswich,Leicester,Ipswich-Leicester
3356694,Southampton,Everton,Southampton-Everton
3356687,Bournemouth,Man City,Bournemouth-Man City
3356690,Liverpool,Brighton,Liverpool-Brighton
3356693,Notts Forest,West Ham,Notts Forest-West Ham
3356696,Wolves,Crystal Palace,Wolves-Crystal Palace
3356695,Tottenham,Aston Villa,Tottenham-Aston Villa
3356691,Man Utd,Chelsea,Man Utd-Chelsea
3356688,Fulham,Brentford,Fulham-Brentford
3356706,Wolves,Southampton,Wolves-Southampton
3356705,West Ham,Everton,West Ham-Everton
3356697,Brentford,Bournemouth,Brentford-Bournemouth
3356700,Crystal Palace,Fulham,Crystal Palace-Fulham
3356698,Brighton,Man City,Brighton-Man City
3356701,Liverpool,Aston Villa,Liverpool-Aston Villa
3356704,Tottenham,Ipswich,Tottenham-Ipswich
3356702,Man Utd,Leicester,Man Utd-Leicester
3356703,Notts Forest,Newcastle,Notts Forest-Newcastle
3356699,Chelsea,Arsenal,Chelsea-Arsenal
3356713,Leicester,Chelsea,Leicester-Chelsea
3356708,Arsenal,Notts Forest,Arsenal-Notts Forest
3356710,Everton,Brentford,Everton-Brentford
3356707,Bournemouth,Brighton,Bournemouth-Brighton
3356711,Fulham,Wolves,Fulham-Wolves
3356709,Aston Villa,Crystal Palace,Aston Villa-Crystal Palace
3356714,Man City,Tottenham,Man City-Tottenham
3356716,Southampton,Liverpool,Southampton-Liverpool
3356712,Ipswich,Man Utd,Ipswich-Man Utd
3356715,Newcastle,West Ham,Newcastle-West Ham
3356718,Brighton,Southampton,Brighton-Southampton
3356726,Wolves,Bournemouth,Wolves-Bournemouth
3356723,Notts Forest,Ipswich,Notts Forest-Ipswich
3356717,Brentford,Leicester,Brentford-Leicester
3356720,Crystal Palace,Newcastle,Crystal Palace-Newcastle
3356725,West Ham,Arsenal,West Ham-Arsenal
3356719,Chelsea,Aston Villa,Chelsea-Aston Villa
3356724,Tottenham,Fulham,Tottenham-Fulham
3356722,Man Utd,Everton,Man Utd-Everton
3356721,Liverpool,Man City,Liverpool-Man City
3356732,Ipswich,Crystal Palace,Ipswich-Crystal Palace
3356733,Leicester,West Ham,Leicester-West Ham
3356730,Everton,Wolves,Everton-Wolves
3356734,Man City,Notts Forest,Man City-Notts Forest
3356735,Newcastle,Liverpool,Newcastle-Liverpool
3356736,Southampton,Chelsea,Southampton-Chelsea
3356729,Aston Villa,Brentford,Aston Villa-Brentford
3356728,Arsenal,Man Utd,Arsenal-Man Utd
3356731,Fulham,Brighton,Fulham-Brighton
3356727,Bournemouth,Tottenham,Bournemouth-Tottenham
3356738,Brentford,Newcastle,Brentford-Newcastle
3356739,Crystal Palace,Man City,Crystal Palace-Man City
3356737,Aston Villa,Southampton,Aston Villa-Southampton
3356744,Man Utd,Notts Forest,Man Utd-Notts Forest
3356743,Leicester,Brighton,Leicester-Brighton
3356742,Ipswich,Bournemouth,Ipswich-Bournemouth
