match_id,home_team,away_team
3356597,Man Utd,Fulham
3356598,Ipswich,Liverpool
3356601,Newcastle,Southampton
3356599,Arsenal,Wolves
3356600,Everton,Brighton
3356602,Notts Forest,Bournemouth
3356603,West Ham,Aston Villa
3356604,Brentford,Crystal Palace
3356605,Chelsea,Man City
3356606,Leicester,Tottenham
3356609,Brighton,Man Utd
3356610,Crystal Palace,West Ham
3356611,Fulham,Leicester
3356613,Man City,Ipswich
3356615,Tottenham,Everton
3356614,Southampton,Notts Forest
3356608,Aston Villa,Arsenal
3356607,Bournemouth,Newcastle
3356616,Wolves,Chelsea
3356612,Liverpool,Brentford
3356617,Arsenal,Brighton
3356620,Everton,Bournemouth
3356625,Notts Forest,Wolves
3356622,Leicester,Aston Villa
3356618,Brentford,Southampton
3356621,Ipswich,Fulham
3356626,West Ham,Man City
3356624,Newcastle,Tottenham
3356619,Chelsea,Crystal Palace
3356623,Man Utd,Liverpool
3356634,Southampton,Man Utd
3356632,Liverpool,Notts Forest
3356633,Man City,Brentford
3356630,Crystal Palace,Leicester
3356629,Brighton,Ipswich
3356631,Fulham,West Ham
3356628,Aston Villa,Everton
3356627,Bournemouth,Chelsea
3356635,Tottenham,Arsenal
3356636,Wolves,Newcastle
3356646,West Ham,Chelsea
3356640,Fulham,Newcastle
3356637,Aston Villa,Wolves
3356642,Liverpool,Bournemouth
3356645,Tottenham,Brentford
3356641,Leicester,Everton
3356644,Southampton,Ipswich
3356639,Crystal Palace,Man Utd
3356638,Brighton,Notts Forest
3356643,Man City,Arsenal
3356654,Newcastle,Man City
3356648,Arsenal,Leicester
3356650,Chelsea,Brighton
3356651,Everton,Crystal Palace
3356655,Notts Forest,Fulham
3356649,Brentford,West Ham
3356656,Wolves,Liverpool
3356652,Ipswich,Aston Villa
3356653,Man Utd,Tottenham
3356647,Bournemouth,Southampton
3356662,Crystal Palace,Liverpool
3356664,Leicester,Bournemouth
3356666,West Ham,Ipswich
3356659,Brentford,Wolves
3356665,Man City,Fulham
3356657,Arsenal,Southampton
3356663,Everton,Newcastle
3356658,Aston Villa,Man Utd
3356661,Chelsea,Notts Forest
3356660,Brighton,Tottenham
3356675,Tottenham,West Ham
3356668,Fulham,Aston Villa
3356672,Newcastle,Brighton
3356671,Man Utd,Brentford
3356669,Ipswich,Everton
3356674,Southampton,Leicester
3356667,Bournemouth,Arsenal
3356676,Wolves,Man City
3356670,Liverpool,Chelsea
3356673,Notts Forest,Crystal Palace
3356684,Leicester,Notts Forest
3356685,Man City,Southampton
3356679,Brentford,Ipswich
3356680,Brighton,Wolves
3356678,Aston Villa,Bournemouth
3356683,Everton,Fulham
3356681,Chelsea,Newcastle
3356686,West Ham,Man Utd
3356682,Crystal Palace,Tottenham
3356677,Arsenal,Liverpool
3356692,Newcastle,Arsenal
3356689,Ipswich,Leicester
3356694,Southampton,Everton
